"","provinceShortName","cityName","confirmedCount","curedCount","deadCount"
"1","西藏","拉萨","1","1","0"
"2","青海","海北州","3","2","0"
"3","青海","西宁","15","9","0"
"4","内蒙古","兴安盟","1","0","0"
"5","内蒙古","乌海","2","0","0"
"6","内蒙古","乌兰察布","3","0","0"
"7","内蒙古","锡林郭勒盟","6","1","0"
"8","内蒙古","呼伦贝尔","6","1","0"
"9","内蒙古","通辽","6","0","0"
"10","内蒙古","赤峰","7","2","0"
"11","内蒙古","呼和浩特","7","0","0"
"12","内蒙古","巴彦淖尔","8","0","0"
"13","内蒙古","鄂尔多斯","11","2","0"
"14","内蒙古","包头","11","0","0"
"15","宁夏","宁东管委会","1","1","0"
"16","宁夏","石嘴山","1","1","0"
"17","宁夏","中卫","3","2","0"
"18","宁夏","固原","5","2","0"
"19","宁夏","吴忠","27","6","0"
"20","宁夏","银川","33","15","0"
"21","新疆","第十二师","1","0","0"
"22","新疆","第七师","1","1","0"
"23","新疆","阿克苏地区","1","1","0"
"24","新疆","第六师","2","0","0"
"25","新疆","吐鲁番","2","1","0"
"26","新疆","巴州","3","0","0"
"27","新疆","石河子","3","0","1"
"28","新疆","昌吉州","4","0","0"
"29","新疆","第九师","4","0","0"
"30","新疆","第四师","10","0","0"
"31","新疆","伊犁州","16","1","0"
"32","新疆","乌鲁木齐","23","2","0"
"33","吉林","梅河口","1","1","0"
"34","吉林","白城","1","0","0"
"35","吉林","松原","2","1","0"
"36","吉林","通化","3","0","0"
"37","吉林","延边州","5","2","0"
"38","吉林","吉林","5","3","0"
"39","吉林","公主岭","6","2","0"
"40","吉林","辽源","7","1","0"
"41","吉林","四平","14","2","1"
"42","吉林","长春","44","13","0"
"43","甘肃","金昌","1","1","0"
"44","甘肃","张掖","2","2","0"
"45","甘肃","临夏","3","3","0"
"46","甘肃","庆阳","3","2","0"
"47","甘肃","陇南","4","3","0"
"48","甘肃","白银","4","0","0"
"49","甘肃","甘南州","8","2","0"
"50","甘肃","定西","9","4","0"
"51","甘肃","平凉","9","1","0"
"52","甘肃","天水","12","9","0"
"53","甘肃","兰州","35","17","2"
"54","辽宁","营口","1","1","0"
"55","辽宁","辽阳","3","1","0"
"56","辽宁","本溪","3","1","0"
"57","辽宁","鞍山","4","0","0"
"58","辽宁","朝阳","6","2","0"
"59","辽宁","铁岭","7","1","0"
"60","辽宁","丹东","7","4","0"
"61","辽宁","阜新","8","0","0"
"62","辽宁","葫芦岛","11","0","1"
"63","辽宁","盘锦","11","0","0"
"64","辽宁","锦州","12","6","0"
"65","辽宁","大连","18","4","0"
"66","辽宁","沈阳","28","9","0"
"67","天津","津南区","1","0","0"
"68","天津","武清区","2","1","0"
"69","天津","红桥区","2","2","0"
"70","天津","滨海新区","3","0","0"
"71","天津","宁河区","4","0","0"
"72","天津","西青区","4","2","0"
"73","天津","东丽区","4","1","0"
"74","天津","河西区","4","2","0"
"75","天津","外地来津","6","1","0"
"76","天津","北辰区","6","1","0"
"77","天津","南开区","6","1","0"
"78","天津","和平区","6","2","0"
"79","天津","河北区","12","7","0"
"80","天津","河东区","14","5","1"
"81","天津","宝坻区","47","7","2"
"82","山西","临汾","2","1","0"
"83","山西","阳泉","4","0","0"
"84","山西","吕梁","6","6","0"
"85","山西","忻州","7","0","0"
"86","山西","朔州","7","2","0"
"87","山西","晋城","8","2","0"
"88","山西","长治","8","0","0"
"89","山西","大同","12","4","0"
"90","山西","运城","19","13","0"
"91","山西","太原","19","3","0"
"92","山西","晋中","35","11","0"
"93","贵州","黔西南州","4","4","0"
"94","贵州","安顺","4","0","0"
"95","贵州","黔东南州","10","4","0"
"96","贵州","铜仁","10","7","0"
"97","贵州","六盘水","10","3","1"
"98","贵州","黔南州","17","5","0"
"99","贵州","毕节","23","6","0"
"100","贵州","遵义","31","5","0"
"101","贵州","贵阳","34","6","0"
"102","海南","琼中县","1","1","0"
"103","海南","乐东","2","0","0"
"104","海南","东方市","3","1","0"
"105","海南","定安","3","1","1"
"106","海南","文昌","3","1","0"
"107","海南","保亭县","3","0","0"
"108","海南","陵水县","4","0","0"
"109","海南","琼海市","6","1","1"
"110","海南","临高县","6","3","0"
"111","海南","昌江","7","0","0"
"112","海南","澄迈县","9","1","1"
"113","海南","万宁","13","3","0"
"114","海南","儋州","15","2","0"
"115","海南","海口","33","9","0"
"116","海南","三亚","54","15","1"
"117","云南","临沧","1","1","0"
"118","云南","文山州","2","0","0"
"119","云南","楚雄州","4","1","0"
"120","云南","普洱","4","1","0"
"121","云南","德宏州","5","2","0"
"122","云南","丽江","7","5","0"
"123","云南","红河州","8","3","0"
"124","云南","保山","9","2","0"
"125","云南","大理","13","6","0"
"126","云南","曲靖","13","5","0"
"127","云南","玉溪","14","3","0"
"128","云南","西双版纳","15","3","0"
"129","云南","昭通","25","2","0"
"130","云南","昆明","48","8","0"
"131","陕西","待确认地区","0","2","0"
"132","陕西","韩城","1","1","0"
"133","陕西","杨凌示范区","1","0","0"
"134","陕西","榆林","3","1","0"
"135","陕西","商洛","7","1","0"
"136","陕西","延安","8","6","0"
"137","陕西","铜川","8","4","0"
"138","陕西","宝鸡","13","7","0"
"139","陕西","渭南","15","0","0"
"140","陕西","咸阳","17","5","0"
"141","陕西","汉中","21","1","0"
"142","陕西","安康","24","5","0"
"143","陕西","西安","114","23","0"
"144","广西","百色","3","0","0"
"145","广西","贺州","4","0","0"
"146","广西","梧州","5","5","0"
"147","广西","贵港","8","2","0"
"148","广西","钦州","8","1","0"
"149","广西","玉林","10","1","0"
"150","广西","来宾","11","0","0"
"151","广西","防城港","17","1","0"
"152","广西","河池","22","0","1"
"153","广西","柳州","24","8","0"
"154","广西","桂林","31","8","0"
"155","广西","北海","43","7","1"
"156","广西","南宁","49","11","0"
"157","福建","龙岩","6","1","0"
"158","福建","三明","13","3","0"
"159","福建","南平","20","4","0"
"160","福建","漳州","20","6","0"
"161","福建","宁德","25","6","0"
"162","福建","厦门","34","4","0"
"163","福建","泉州","46","13","0"
"164","福建","莆田","55","12","0"
"165","福建","福州","66","18","0"
"166","河北","承德","7","3","0"
"167","河北","衡水","8","4","0"
"168","河北","秦皇岛","10","2","0"
"169","河北","邢台","22","8","1"
"170","河北","石家庄","27","7","0"
"171","河北","廊坊","29","12","0"
"172","河北","邯郸","31","9","0"
"173","河北","保定","32","17","0"
"174","河北","张家口","33","7","0"
"175","河北","沧州","46","14","2"
"176","河北","唐山","46","4","0"
"177","上海","待确认地区","0","0","1"
"178","上海","崇明","3","0","0"
"179","上海","金山","3","2","0"
"180","上海","青浦","5","4","0"
"181","上海","黄浦","6","2","0"
"182","上海","虹口","7","3","0"
"183","上海","奉贤","9","1","0"
"184","上海","嘉定","9","2","0"
"185","上海","杨浦","9","2","0"
"186","上海","普陀","11","2","0"
"187","上海","长宁","13","6","0"
"188","上海","松江","14","2","0"
"189","上海","静安","16","7","0"
"190","上海","闵行","18","7","0"
"191","上海","徐汇","18","4","0"
"192","上海","宝山","20","5","0"
"193","上海","浦东","56","27","0"
"194","上海","外地来沪人员","109","48","0"
"195","北京","待确认地区","0","88","4"
"196","北京","延庆区","1","0","0"
"197","北京","门头沟区","3","0","0"
"198","北京","密云区","7","0","0"
"199","北京","怀柔区","7","0","0"
"200","北京","顺义区","10","0","0"
"201","北京","东城区","12","0","0"
"202","北京","房山区","14","0","0"
"203","北京","石景山区","14","1","0"
"204","北京","通州区","17","1","0"
"205","北京","昌平区","24","0","0"
"206","北京","外来务工人员","26","2","0"
"207","北京","丰台区","38","3","0"
"208","北京","大兴区","39","2","0"
"209","北京","西城区","46","0","0"
"210","北京","朝阳区","58","0","0"
"211","北京","海淀区","59","0","0"
"212","黑龙江","伊春","1","0","0"
"213","黑龙江","大兴安岭","2","0","0"
"214","黑龙江","鹤岗","5","2","0"
"215","黑龙江","牡丹江","12","1","0"
"216","黑龙江","黑河","13","0","0"
"217","黑龙江","佳木斯","15","7","0"
"218","黑龙江","七台河","16","1","0"
"219","黑龙江","大庆","19","1","1"
"220","黑龙江","齐齐哈尔","36","8","1"
"221","黑龙江","鸡西","45","1","0"
"222","黑龙江","绥化","46","7","4"
"223","黑龙江","双鸭山","48","1","2"
"224","黑龙江","哈尔滨","167","19","3"
"225","四川","阿坝州","1","0","0"
"226","四川","资阳","3","2","0"
"227","四川","乐山","3","2","0"
"228","四川","广元","6","2","0"
"229","四川","雅安","7","2","0"
"230","四川","眉山","8","2","0"
"231","四川","自贡","9","2","0"
"232","四川","遂宁","10","4","0"
"233","四川","凉山州","11","4","0"
"234","四川","宜宾","11","6","0"
"235","四川","攀枝花","13","10","0"
"236","四川","德阳","17","0","0"
"237","四川","泸州","19","2","0"
"238","四川","内江","22","5","0"
"239","四川","绵阳","22","5","0"
"240","四川","巴中","24","1","0"
"241","四川","广安","30","8","0"
"242","四川","南充","35","9","0"
"243","四川","达州","36","5","0"
"244","四川","甘孜州","44","3","0"
"245","四川","成都","139","44","1"
"246","山东","滨州","14","9","0"
"247","山东","日照","15","2","0"
"248","山东","菏泽","18","9","0"
"249","山东","枣庄","24","4","0"
"250","山东","淄博","28","4","0"
"251","山东","泰安","32","4","0"
"252","山东","德州","36","7","1"
"253","山东","聊城","38","7","0"
"254","山东","威海","38","9","0"
"255","山东","潍坊","42","7","0"
"256","山东","烟台","46","12","0"
"257","山东","临沂","47","25","0"
"258","山东","济南","47","11","0"
"259","山东","济宁","49","18","0"
"260","山东","青岛","56","19","1"
"261","重庆","酉阳","1","0","0"
"262","重庆","秀山县","1","1","0"
"263","重庆","武隆区","1","0","0"
"264","重庆","万盛经开区","1","0","0"
"265","重庆","彭水","2","0","0"
"266","重庆","城口县","2","2","0"
"267","重庆","黔江区","2","2","0"
"268","重庆","涪陵区","3","1","0"
"269","重庆","高新区","4","1","0"
"270","重庆","梁平区","4","2","0"
"271","重庆","江津区","4","2","0"
"272","重庆","永川区","5","2","0"
"273","重庆","巴南区","6","1","0"
"274","重庆","大渡口区","7","4","0"
"275","重庆","璧山区","8","4","0"
"276","重庆","沙坪坝区","8","0","0"
"277","重庆","荣昌区","9","0","0"
"278","重庆","铜梁区","9","1","0"
"279","重庆","巫山县","10","5","0"
"280","重庆","丰都县","10","2","0"
"281","重庆","巫溪县","13","7","0"
"282","重庆","石柱县","14","5","0"
"283","重庆","大足区","14","1","0"
"284","重庆","渝北区","15","5","0"
"285","重庆","南岸区","15","2","0"
"286","重庆","潼南区","17","2","0"
"287","重庆","两江新区","17","4","0"
"288","重庆","长寿区","18","8","0"
"289","重庆","忠县","19","9","0"
"290","重庆","奉节县","20","4","0"
"291","重庆","开州区","20","12","1"
"292","重庆","垫江县","20","4","0"
"293","重庆","九龙坡区","20","3","1"
"294","重庆","渝中区","20","5","0"
"295","重庆","綦江区","22","3","0"
"296","重庆","云阳县","23","13","0"
"297","重庆","合川区","23","5","0"
"298","重庆","江北区","26","3","0"
"299","重庆","万州区","104","27","3"
"300","江苏","宿迁","12","6","0"
"301","江苏","镇江","12","2","0"
"302","江苏","扬州","21","6","0"
"303","江苏","盐城","27","6","0"
"304","江苏","泰州","37","16","0"
"305","江苏","南通","40","13","0"
"306","江苏","常州","43","11","0"
"307","江苏","连云港","46","12","0"
"308","江苏","无锡","52","15","0"
"309","江苏","淮安","60","11","0"
"310","江苏","徐州","77","20","0"
"311","江苏","苏州","86","26","0"
"312","江苏","南京","91","27","0"
"313","江西","赣江新区","1","0","0"
"314","江西","景德镇","5","1","0"
"315","江西","鹰潭","18","3","0"
"316","江西","吉安","20","7","0"
"317","江西","萍乡","32","4","0"
"318","江西","抚州","72","17","0"
"319","江西","赣州","76","14","1"
"320","江西","宜春","102","20","0"
"321","江西","九江","115","18","0"
"322","江西","上饶","123","20","0"
"323","江西","新余","127","34","0"
"324","江西","南昌","222","72","0"
"325","安徽","宣城","6","4","0"
"326","安徽","黄山","9","1","0"
"327","安徽","滁州","13","7","0"
"328","安徽","池州","17","4","0"
"329","安徽","淮南","23","6","0"
"330","安徽","淮北","26","6","0"
"331","安徽","铜陵","28","10","0"
"332","安徽","芜湖","31","8","0"
"333","安徽","马鞍山","35","10","0"
"334","安徽","宿州","39","11","0"
"335","安徽","六安","63","15","0"
"336","安徽","安庆","82","33","0"
"337","安徽","亳州","107","25","0"
"338","安徽","阜阳","150","28","0"
"339","安徽","蚌埠","153","7","5"
"340","安徽","合肥","168","38","1"
"341","湖南","张家界","5","4","0"
"342","湖南","湘西自治州","8","6","0"
"343","湖南","湘潭","35","14","0"
"344","湖南","郴州","39","22","0"
"345","湖南","怀化","40","28","0"
"346","湖南","永州","43","23","0"
"347","湖南","衡阳","47","26","0"
"348","湖南","益阳","59","24","0"
"349","湖南","娄底","75","29","0"
"350","湖南","常德","78","28","0"
"351","湖南","株洲","78","23","0"
"352","湖南","邵阳","100","50","1"
"353","湖南","岳阳","153","51","1"
"354","湖南","长沙","241","73","0"
"355","浙江","舟山","10","5","0"
"356","浙江","湖州","10","4","0"
"357","浙江","丽水","17","10","0"
"358","浙江","衢州","21","9","0"
"359","浙江","绍兴","42","17","0"
"360","浙江","嘉兴","43","10","0"
"361","浙江","金华","55","24","0"
"362","浙江","台州","145","60","0"
"363","浙江","宁波","154","46","0"
"364","浙江","杭州","166","73","0"
"365","浙江","温州","499","159","0"
"366","河南","待确认地区","0","0","3"
"367","河南","济源","4","0","0"
"368","河南","三门峡","7","4","0"
"369","河南","濮阳","17","1","0"
"370","河南","鹤壁","19","4","0"
"371","河南","开封","25","6","0"
"372","河南","焦作","30","6","1"
"373","河南","洛阳","31","8","0"
"374","河南","漯河市","34","9","0"
"375","河南","许昌","37","6","0"
"376","河南","安阳市","51","16","0"
"377","河南","新乡","55","10","2"
"378","河南","平顶山","58","19","1"
"379","河南","周口","70","25","0"
"380","河南","商丘","90","25","2"
"381","河南","驻马店","138","59","0"
"382","河南","郑州","144","64","0"
"383","河南","南阳","150","52","2"
"384","河南","信阳","252","64","2"
"385","广东","待确认地区","0","15","0"
"386","广东","河源","3","1","0"
"387","广东","潮州","5","1","0"
"388","广东","汕尾","5","1","0"
"389","广东","揭阳","8","4","0"
"390","广东","韶关","10","4","0"
"391","广东","清远","12","7","0"
"392","广东","阳江","13","7","0"
"393","广东","茂名","13","3","0"
"394","广东","梅州","15","7","0"
"395","广东","肇庆","17","7","1"
"396","广东","湛江","22","11","0"
"397","广东","江门","22","3","0"
"398","广东","汕头","25","9","0"
"399","广东","惠州","58","18","0"
"400","广东","中山","65","31","0"
"401","广东","东莞","81","7","1"
"402","广东","佛山","84","22","0"
"403","广东","珠海","95","27","0"
"404","广东","广州","335","106","0"
"405","广东","深圳","406","104","0"
"406","湖北","神农架林区","10","8","0"
"407","湖北","潜江","116","12","5"
"408","湖北","恩施州","244","71","4"
"409","湖北","天门","422","21","10"
"410","湖北","仙桃","514","63","17"
"411","湖北","十堰","597","100","2"
"412","湖北","咸宁","840","127","8"
"413","湖北","荆门","902","112","28"
"414","湖北","宜昌","906","92","15"
"415","湖北","黄石","980","170","13"
"416","湖北","襄阳","1128","85","18"
"417","湖北","鄂州","1192","199","33"
"418","湖北","随州","1232","96","19"
"419","湖北","荆州","1478","192","32"
"420","湖北","黄冈","2817","611","68"
"421","湖北","孝感","3114","313","62"
"422","湖北","武汉","37914","2502","1123"
